Ticker,Stock Name,Price Code,Ratios Code,In Market?
A,Agilent Technologies,GOOG/NYSE_A,DMDRN/A_ALLFINANCIALRATIOS,Active
AA,Alcoa Inc.,GOOG/NYSE_AA,DMDRN/AA_ALLFINANCIALRATIOS,Active
AABC,Access Anytime Bancorp Inc,NA,DMDRN/AABC_ALLFINANCIALRATIOS,Not Active
AAC,Australia Acquisition,GOOG/NASDAQ_AAC,DMDRN/AAC_ALLFINANCIALRATIOS,Not Active
AACB,Alliance Atlantic Comms,NA,DMDRN/AACB_ALLFINANCIALRATIOS,Not Active
AACC,Asset Acceptance Capital,GOOG/NASDAQ_AACC,DMDRN/AACC_ALLFINANCIALRATIOS,Not Active
AACE,Ace Cash Express Inc.,NA,DMDRN/AACE_ALLFINANCIALRATIOS,Not Active
AADI,American Asset Development In,GOOG/PINK_AADI,DMDRN/AADI_ALLFINANCIALRATIOS,Not Active
AAH.TO,Aastra Technologies Ltd.,YAHOO/TSX_AAH_TO,DMDRN/AAH_TO_ALLFINANCIALRATIOS,Not Active
AAI,AirTran Hldgs Inc,NA,DMDRN/AAI_ALLFINANCIALRATIOS,Not Active
AAII,aaiPharma Inc,NA,DMDRN/AAII_ALLFINANCIALRATIOS,Not Active
AAIIQ,aaiPharma Inc,GOOG/PINK_AAIIQ,DMDRN/AAIIQ_ALLFINANCIALRATIOS,Not Active
AAIR,Avantair Inc,GOOG/PINK_AAIR,DMDRN/AAIR_ALLFINANCIALRATIOS,Active
AALA,AmerAlia Inc,NA,DMDRN/AALA_ALLFINANCIALRATIOS,Not Active
AAM,Aames Financial Corp.,NA,DMDRN/AAM_ALLFINANCIALRATIOS,Not Active
AAMA,Asiamart Inc,NA,DMDRN/AAMA_ALLFINANCIALRATIOS,Not Active
AAMC,American Asset Mgmt,NA,DMDRN/AAMC_ALLFINANCIALRATIOS,Not Active
AAME,Atlantic American Corp.,GOOG/NASDAQ_AAME,DMDRN/AAME_ALLFINANCIALRATIOS,Active
AAMI,American Ammunition Inc.,NA,DMDRN/AAMI_ALLFINANCIALRATIOS,Not Active
AAMRQ,AMR Corp.,GOOG/PINK_AAMRQ,DMDRN/AAMRQ_ALLFINANCIALRATIOS,Not Active
AAMU,American Ammunition Inc.,NA,DMDRN/AAMU_ALLFINANCIALRATIOS,Not Active
AAMUQ,American Ammunition Inc.,GOOG/PINK_AAMUQ,DMDRN/AAMUQ_ALLFINANCIALRATIOS,Not Active
AAN,Aaron's Inc.,GOOG/NYSE_AAN,DMDRN/AAN_ALLFINANCIALRATIOS,Active
AANB,Abigail Adams Natl Bncrp,NA,DMDRN/AANB_ALLFINANCIALRATIOS,Not Active
AANI,Amedia Networks Inc,NA,DMDRN/AANI_ALLFINANCIALRATIOS,Not Active
AAON,Aaon,GOOG/NASDAQ_AAON,DMDRN/AAON_ALLFINANCIALRATIOS,Active
AAP,Advance Auto Parts Inc,GOOG/NYSE_AAP,DMDRN/AAP_ALLFINANCIALRATIOS,Active
AAPC,American Architectural Product,NA,DMDRN/AAPC_ALLFINANCIALRATIOS,Not Active
AAPH,American Petro-Hunter Inc.,GOOG/PINK_AAPH,DMDRN/AAPH_ALLFINANCIALRATIOS,Active
AAPL,Apple Inc.,GOOG/NASDAQ_AAPL,DMDRN/AAPL_ALLFINANCIALRATIOS,Active
AAPO,AAMPRO GROUP Inc,NA,DMDRN/AAPO_ALLFINANCIALRATIOS,Not Active
AARW,AARO Broadband Wireless Commun,NA,DMDRN/AARW_ALLFINANCIALRATIOS,Not Active
AAS,AmeriSource Health `A',NA,DMDRN/AAS_ALLFINANCIALRATIOS,Not Active
AASL,America's Suppliers Inc,GOOG/PINK_AASL,DMDRN/AASL_ALLFINANCIALRATIOS,Active
AASP,All-American Sportpark Inc,GOOG/PINK_AASP,DMDRN/AASP_ALLFINANCIALRATIOS,Active
AASR,Ascent Assurance Inc,NA,DMDRN/AASR_ALLFINANCIALRATIOS,Not Active
AATI,Advanced Analogic Tech. Inc.,NA,DMDRN/AATI_ALLFINANCIALRATIOS,Not Active
AATK,American Access Technologies,NA,DMDRN/AATK_ALLFINANCIALRATIOS,Not Active
AAVG,AvStar Aviation Group Inc,GOOG/PINK_AAVG,DMDRN/AAVG_ALLFINANCIALRATIOS,Active
AAWW,Atlas Air Worldwide Holdings,GOOG/NASDAQ_AAWW,DMDRN/AAWW_ALLFINANCIALRATIOS,Active
AB,Alliance Capital Management L.P.,GOOG/NYSE_AB,DMDRN/AB_ALLFINANCIALRATIOS,Active
ABAT,Advanced Battery Technologies,GOOG/PINK_ABAT,DMDRN/ABAT_ALLFINANCIALRATIOS,Active
ABAX,Abaxis,GOOG/NASDAQ_ABAX,DMDRN/ABAX_ALLFINANCIALRATIOS,Active
ABB,Abb Ltd,GOOG/NYSE_ABB,DMDRN/ABB_ALLFINANCIALRATIOS,Active
ABBC,Abington Community Bncp,NA,DMDRN/ABBC_ALLFINANCIALRATIOS,Not Active
ABBI,Abraxis BioScience Inc,NA,DMDRN/ABBI_ALLFINANCIALRATIOS,Not Active
ABBK,Abington Bancorp,NA,DMDRN/ABBK_ALLFINANCIALRATIOS,Not Active
ABBV,AbbVie Inc.,GOOG/NYSE_ABBV,DMDRN/ABBV_ALLFINANCIALRATIOS,Active
ABC,Amerisourcebergen Corporation,GOOG/NYSE_ABC,DMDRN/ABC_ALLFINANCIALRATIOS,Active
ABCB,Ameris Bancorp,GOOG/NASDAQ_ABCB,DMDRN/ABCB_ALLFINANCIALRATIOS,Active
ABCD,Cambium Learning Group,GOOG/NASDAQ_ABCD,DMDRN/ABCD_ALLFINANCIALRATIOS,Active
ABCI,ABCI Holdings Inc.,NA,DMDRN/ABCI_ALLFINANCIALRATIOS,Not Active
ABCO,The Advisory Board Company,GOOG/NASDAQ_ABCO,DMDRN/ABCO_ALLFINANCIALRATIOS,Active
ABCP,Ambase Corp,GOOG/PINK_ABCP,DMDRN/ABCP_ALLFINANCIALRATIOS,Active
ABCR,ABC-NACO Inc,NA,DMDRN/ABCR_ALLFINANCIALRATIOS,Not Active
ABCW,Anchor BanCorp WI,GOOG/PINK_ABCW,DMDRN/ABCW_ALLFINANCIALRATIOS,Not Active
ABCX,American Building Control Inc,NA,DMDRN/ABCX_ALLFINANCIALRATIOS,Not Active
ABD,Acco Brands,NA,DMDRN/ABD_ALLFINANCIALRATIOS,Not Active
ABDS,Allegro Biodiesel Corporation,NA,DMDRN/ABDS_ALLFINANCIALRATIOS,Not Active
ABF,Airborne Inc.,NA,DMDRN/ABF_ALLFINANCIALRATIOS,Not Active
ABFI,American Business Finl,NA,DMDRN/ABFI_ALLFINANCIALRATIOS,Not Active
ABFIQ,American Business Finl,NA,DMDRN/ABFIQ_ALLFINANCIALRATIOS,Not Active
ABFS,Arkansas Best Corp.,GOOG/NASDAQ_ABFS,DMDRN/ABFS_ALLFINANCIALRATIOS,Active
ABG,Asbury Automotive Group Inc,GOOG/NYSE_ABG,DMDRN/ABG_ALLFINANCIALRATIOS,Active
ABGX,Abgenix Inc,NA,DMDRN/ABGX_ALLFINANCIALRATIOS,Not Active
ABH,AbitibiBowater,NA,DMDRN/ABH_ALLFINANCIALRATIOS,Not Active
ABHH,American Bank Note Holographic,NA,DMDRN/ABHH_ALLFINANCIALRATIOS,Not Active
ABI,Safety First Trust,GOOG/AMEX_ABI,DMDRN/ABI_ALLFINANCIALRATIOS,Not Active
ABII,Abraxis BioScience,NA,DMDRN/ABII_ALLFINANCIALRATIOS,Not Active
ABIL,Americabilia.Com Inc,NA,DMDRN/ABIL_ALLFINANCIALRATIOS,Not Active
ABIO,Arca Biopharma,GOOG/NASDAQ_ABIO,DMDRN/ABIO_ALLFINANCIALRATIOS,Active
ABIX,Abatix Corp,GOOG/PINK_ABIX,DMDRN/ABIX_ALLFINANCIALRATIOS,Not Active
ABIZ,Adelphia Business Solutions,NA,DMDRN/ABIZ_ALLFINANCIALRATIOS,Not Active
ABK,Ambac Fin'l Group,NA,DMDRN/ABK_ALLFINANCIALRATIOS,Not Active
ABKD,American Federal Savings Bank,NA,DMDRN/ABKD_ALLFINANCIALRATIOS,Not Active
ABKFQ,Ambac Fin'l Group,GOOG/PINK_ABKFQ,DMDRN/ABKFQ_ALLFINANCIALRATIOS,Not Active
ABL,Amer Biltrite Inc.,NA,DMDRN/ABL_ALLFINANCIALRATIOS,Not Active
ABLE,Able Energy Inc,GOOG/PINK_ABLE,DMDRN/ABLE_ALLFINANCIALRATIOS,Not Active
ABM,Abm Industries Incorporated,GOOG/NYSE_ABM,DMDRN/ABM_ALLFINANCIALRATIOS,Active
ABMC,American Bio Medica Corp,GOOG/PINK_ABMC,DMDRN/ABMC_ALLFINANCIALRATIOS,Active
ABMD,Abiomed,GOOG/NASDAQ_ABMD,DMDRN/ABMD_ALLFINANCIALRATIOS,Active
ABN,ABN Amro Holdings,NA,DMDRN/ABN_ALLFINANCIALRATIOS,Not Active
ABNJ,American Bancorp of N.J.,NA,DMDRN/ABNJ_ALLFINANCIALRATIOS,Not Active
ABNS,Alliance Bancshares Ca.,GOOG/PINK_ABNS,DMDRN/ABNS_ALLFINANCIALRATIOS,Not Active
ABNT,American Banknote Corp,NA,DMDRN/ABNT_ALLFINANCIALRATIOS,Not Active
ABO/B.TO,Arbor Memorial Services Inc,NA,DMDRN/ABO_B_TO_ALLFINANCIALRATIOS,Active
ABOA.TO,Arbor Mem Svcs Inc.,NA,DMDRN/ABOA_TO_ALLFINANCIALRATIOS,Active
ABOB.TO,Arbor Memorial Services Inc,NA,DMDRN/ABOB_TO_ALLFINANCIALRATIOS,Not Active
ABP,Abraxas Petrol,NA,DMDRN/ABP_ALLFINANCIALRATIOS,Not Active
ABPH,Advanced Biophotonics Inc,NA,DMDRN/ABPH_ALLFINANCIALRATIOS,Not Active
ABPI,Accents Biopharmaceuticals,GOOG/PINK_ABPI,DMDRN/ABPI_ALLFINANCIALRATIOS,Active
ABPIQ,Accentia Biopharmaceuticals,NA,DMDRN/ABPIQ_ALLFINANCIALRATIOS,Not Active
ABR,Arbor Realty Trust,NA,DMDRN/ABR_ALLFINANCIALRATIOS,Not Active
ABRI,Abrams Ind,NA,DMDRN/ABRI_ALLFINANCIALRATIOS,Not Active
ABS,Albertson's Inc.,NA,DMDRN/ABS_ALLFINANCIALRATIOS,Not Active
ABSC,Aurora Biosciences,NA,DMDRN/ABSC_ALLFINANCIALRATIOS,Not Active
ABT,Abbott Laboratories,GOOG/NYSE_ABT,DMDRN/ABT_ALLFINANCIALRATIOS,Active
ABTG,Ambient Corp /NY,NA,DMDRN/ABTG_ALLFINANCIALRATIOS,Not Active
ABTL,Autobytel Inc.,GOOG/NASDAQ_ABTL,DMDRN/ABTL_ALLFINANCIALRATIOS,Active
ABTLE,Autobytel Inc,NA,DMDRN/ABTLE_ALLFINANCIALRATIOS,Not Active
ABVA,Alliance Bankshares Corp.,GOOG/NASDAQ_ABVA,DMDRN/ABVA_ALLFINANCIALRATIOS,Not Active
ABVT,AboveNet Inc,NA,DMDRN/ABVT_ALLFINANCIALRATIOS,Not Active
ABVV,Abviva Inc,NA,DMDRN/ABVV_ALLFINANCIALRATIOS,Not Active
ABWG,A.B. Watley Group Inc,GOOG/PINK_ABWG,DMDRN/ABWG_ALLFINANCIALRATIOS,Not Active
ABWTQ,AbitibiBowater Inc,NA,DMDRN/ABWTQ_ALLFINANCIALRATIOS,Not Active
ABX,Barrick Gold Corp.,GOOG/NYSE_ABX,DMDRN/ABX_ALLFINANCIALRATIOS,Active
ABXA,ABX Air Inc,NA,DMDRN/ABXA_ALLFINANCIALRATIOS,Not Active
ABY,Abitibi-Consolidated,NA,DMDRN/ABY_ALLFINANCIALRATIOS,Not Active
ABZ.TO,Aber Diamond Corporation,NA,DMDRN/ABZ_TO_ALLFINANCIALRATIOS,Not Active
ABZA,Abazias Inc,NA,DMDRN/ABZA_ALLFINANCIALRATIOS,Not Active
ABZS,Abazias Inc,NA,DMDRN/ABZS_ALLFINANCIALRATIOS,Not Active
AC,Alliance Capital Mgmt.,NA,DMDRN/AC_ALLFINANCIALRATIOS,Not Active
AC.TO,Air Canada,NA,DMDRN/AC_TO_ALLFINANCIALRATIOS,Not Active
ACA,ACA Capital Holdings Inc,NA,DMDRN/ACA_ALLFINANCIALRATIOS,Not Active
ACAD,Acadia Pharmaceuticals Inc.,GOOG/NASDAQ_ACAD,DMDRN/ACAD_ALLFINANCIALRATIOS,Active
ACAH,ACA Capital Holdings Inc,NA,DMDRN/ACAH_ALLFINANCIALRATIOS,Not Active
ACAI,Atlantic Coast Airlines,NA,DMDRN/ACAI_ALLFINANCIALRATIOS,Not Active
ACAP,Amer. Physicians Capital,NA,DMDRN/ACAP_ALLFINANCIALRATIOS,Not Active
ACAS,American Capital,GOOG/NASDAQ_ACAS,DMDRN/ACAS_ALLFINANCIALRATIOS,Active
ACAT,Arctic Cat Inc.,GOOG/NASDAQ_ACAT,DMDRN/ACAT_ALLFINANCIALRATIOS,Active
ACBA,American Community Bancshares,NA,DMDRN/ACBA_ALLFINANCIALRATIOS,Not Active
ACC,American Campus Communities Inc,GOOG/NYSE_ACC,DMDRN/ACC_ALLFINANCIALRATIOS,Active
ACCL,Accelrys,GOOG/NASDAQ_ACCL,DMDRN/ACCL_ALLFINANCIALRATIOS,Active
ACCO,Acco Brands Corp.,GOOG/NYSE_ACCO,DMDRN/ACCO_ALLFINANCIALRATIOS,Active
ACCP,Access Pharmaceuticals Inc,GOOG/PINK_ACCP,DMDRN/ACCP_ALLFINANCIALRATIOS,Active
ACCR,Access Power Inc,NA,DMDRN/ACCR_ALLFINANCIALRATIOS,Not Active
ACCY,Alternative Construction Tech,NA,DMDRN/ACCY_ALLFINANCIALRATIOS,Not Active
ACD,Asconi Corp,NA,DMDRN/ACD_ALLFINANCIALRATIOS,Not Active
